2020-01-26 04:00:41,253 [INFO ]  A Clockwork Orange (1971) is older than 1980, Removing from Radarr...
2020-01-26 04:00:41,255 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:41,331 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10099?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:41,338 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:41,664 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10101?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:41,668 [INFO ]  Lolita (1962) is older than 1980, Removing from Radarr...
2020-01-26 04:00:41,671 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:41,773 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10101?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:41,780 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:42,135 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10106?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:42,138 [INFO ]  Chinatown (1974) is older than 1980, Removing from Radarr...
2020-01-26 04:00:42,141 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:42,279 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10106?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:42,283 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:42,577 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10109?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:42,580 [INFO ]  Lawrence of Arabia (1962) is older than 1980, Removing from Radarr...
2020-01-26 04:00:42,590 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:42,679 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10109?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
